country,avg_popularity,total_appearances,unique_songs,top_song,top_artist
AE,86.28,4150,166,like JENNIE,Jin
AR,80.56,4151,126,Como Eran Las Cosas,Bad Bunny
AT,80.86,4151,236,tau mich auf,sombr
AU,88.89,4150,115,Ordinary,Sabrina Carpenter
BE,83.06,4151,165,Ordinary,GIMS
BG,58.91,4151,190,Разкажи ѝ,Jimin
BO,84.66,4151,113,La Plena - W Sound 05,Bad Bunny
BR,78.99,4150,160,Tubarões - Ao Vivo,Henrique & Juliano
BY,65.85,4150,158,Who,Poshlaya Molly
CA,87.86,4152,160,That’s So True,Morgan Wallen
CH,84.08,4153,224,Ordinary,Bad Bunny
CL,79.95,4150,134,capaz (merengueton),Bad Bunny
CO,81.47,4150,149,VITAMINA,Bad Bunny
CR,84.58,4150,137,VITAMINA,Bad Bunny
CZ,68.88,4150,193,Syndrom,Viktor Sheen
DE,78.4,4150,258,Wackelkontakt,Pashanim
DK,65.87,4151,179,Det Modsatte,Annika
DO,73.75,4151,183,La Plena - W Sound 05,Bad Bunny
EC,83.84,4154,124,VITAMINA,Bad Bunny
EE,69.1,4152,238,Espresso Macchiato,triibupasta
EG,62.97,4150,121,ستاموني,Tamer Ashour
ES,80.2,4150,152,La Plena - W Sound 05,Bad Bunny
FI,62.06,4150,219,Mitä meist jää,Turisti
FR,75.48,4151,167,Feel Good,GIMS
GB,82.22,200,84,Ordinary,Sabrina Carpenter
GR,61.8,4150,218,AUTOS,APON
GT,86.94,4150,99,ROSONES,Bad Bunny
HK,71.43,4150,148,APT.,Keung To
HN,86.64,4150,115,ROSONES,Bad Bunny
HU,65.93,4150,152,"Csurran, cseppen",DESH
ID,81.03,4150,90,Lantas,Hindia
IE,85.33,4151,147,Too Sweet,Sabrina Carpenter
IL,63.78,4150,155,תהום,Omer Adam
IN,77.36,4150,126,Finding Her,Anuv Jain
IS,55.01,4150,211,Litlar stjörnur,Hafdís Huld
IT,72.24,4150,195,Scarabocchi,"Sfera Ebbasta, Shiva"
JP,73.7,4153,89,BOW AND ARROW,Mrs. GREEN APPLE
KR,74.68,4150,134,Who,Lim Young Woong
KZ,67.31,4151,130,Who,IL'HAN
LT,66.87,4152,210,We Are The People,Jessica Shy
LU,83.02,4100,217,Ordinary,GIMS
LV,74.09,4150,216,Raķešu Zinātne,"Wiesulis, sangvn"
MA,62.32,4151,147,Dawini,Stormy
MX,85.02,4150,103,ROSONES,Tito Double P
MY,79.8,4152,148,Aku Dah Lupa,Ariana Grande
NG,68.74,4150,162,Funds (feat. ODUMODUBLVCK & Chike),Seyi Vibez
NI,86.92,4150,114,ROSONES,Bad Bunny
NL,77.17,4150,149,Jouw Idee,Roxy Dekker
NO,73.73,4151,199,Show Me Love,Søte og Rare Gutter
NZ,88.82,4151,116,Too Sweet,Teddy Swims
PA,78.19,4150,144,BAILE INoLVIDABLE,Bad Bunny
PE,84.91,4150,118,La Plena - W Sound 05,Bad Bunny
PH,80.01,4150,100,Multo,Earl Agustin
PK,73.98,4150,109,Heer,Shubh
PL,72.59,4150,216,NIENAWIDZĘ BYĆ W KLUBIE,PRO8L3M
PT,78.52,4150,141,Interestelar,Plutonio
PY,81.63,4150,119,Who,Bad Bunny
RO,61.74,4150,207,Prințesa și lăutarul,Dani Mocanu
SA,76.68,4153,163,Impossible,Billie Eilish
SE,72.1,4150,201,Kan Inte Gå,"Humlan Djojj, Josefine Götestam"
SG,84.18,4150,151,luther (with sza),Lady Gaga
SK,67.7,4150,185,NENI STRE$S,Separ
SV,86.73,4150,128,ROSONES,Bad Bunny
TH,71.72,4150,129,Who,Only Monday
TR,73.61,4151,143,Sen Kaldın,Ati242
TW,75.04,4152,145,Winter Ahead (with PARK HYO SHIN),aespa
UA,64.61,4150,185,Нагадай,DOROFEEVA
US,87.46,4151,181,tv off (feat. lefty gunplay),Morgan Wallen
UY,77.38,4150,113,La Plena - W Sound 05,Bad Bunny
VE,82.08,4150,135,VITAMINA,Bad Bunny
VN,70.94,4150,112,Seven (feat. Latto) (Explicit Ver.),Sơn Tùng M-TP
ZA,65.59,4152,179,Ngisakuthanda,MENZI MUSIC
